Cumulative_Surplus_kWh,Cumulative_Deficit_kWh
0.0,0.4
0.0,0.55
0.0,0.675
0.0,0.9750000000000001
0.0,1.475
0.0,1.85
0.0,2.375
0.0,3.425
0.0,4.225
231.58,4.225
616.98,4.225
1107.46,4.225
1653.245,4.225
2212.425,4.225
2724.7450000000003,4.225
3129.8650000000002,4.225
3371.125,4.225
3372.615,4.225
3372.615,6.824999999999999
3372.615,9.024999999999999
3372.615,9.825
3372.615,10.424999999999999
3372.615,11.174999999999999
3372.615,11.975
3372.615,12.375
3372.615,13.125
3372.615,13.375
3372.615,13.475
3372.615,13.975
3372.615,14.225
3372.615,14.4
3372.615,15.8
3465.515,15.8
3752.145,15.8
4176.445,15.8
4719.764999999999,15.8
5327.365,15.8
5944.474999999999,15.8
6524.294999999999,15.8
6994.105,15.8
7320.044999999999,15.8
7457.1449999999995,15.8
7457.1449999999995,19.05
7457.1449999999995,20.150000000000002
7457.1449999999995,22.150000000000002
7457.1449999999995,23.650000000000002
7457.1449999999995,24.150000000000002
7457.1449999999995,24.35
7457.1449999999995,25.150000000000002
7457.1449999999995,25.3
7457.1449999999995,25.425
7457.1449999999995,25.825
7457.1449999999995,26.224999999999998
7457.1449999999995,26.599999999999998
7457.1449999999995,27.124999999999996
7489.724999999999,27.124999999999996
7686.315,27.124999999999996
8064.7,27.124999999999996
8607.69,27.124999999999996
9259.24,27.124999999999996
9977.404999999999,27.124999999999996
10669.855,27.124999999999996
11323.015,27.124999999999996
11864.035,27.124999999999996
12249.055,27.124999999999996
12458.115,27.124999999999996
12482.725,27.124999999999996
12482.725,29.874999999999996
12482.725,31.474999999999998
12482.725,32.675
12482.725,32.925
12482.725,33.724999999999994
12482.725,33.925
12482.725,34.224999999999994
12482.725,34.724999999999994
12482.725,35.224999999999994
12482.725,35.724999999999994
12482.725,36.224999999999994
12496.015000000001,36.224999999999994
12615.845000000001,36.224999999999994
12895.465000000002,36.224999999999994
13350.525000000001,36.224999999999994
13943.955000000002,36.224999999999994
14631.375000000002,36.224999999999994
15372.650000000001,36.224999999999994
16093.37,36.224999999999994
16739.18,36.224999999999994
17266.9,36.224999999999994
17654.08,36.224999999999994
17881.120000000003,36.224999999999994
17956.38,36.224999999999994
17956.38,36.80499999999999
17956.38,38.004999999999995
17956.38,38.605
17956.38,39.855
17956.38,40.455
17956.38,41.254999999999995
17956.38,42.004999999999995
17956.38,42.629999999999995
17956.38,42.83
17956.38,43.33
17957.86,43.33
18003.105,43.33
18165.805,43.33
18483.465,43.33
18973.07,43.33
19599.19,43.33
20308.67,43.33
21056.914999999997,43.33
21792.504999999997,43.33
22438.664999999997,43.33
22959.225,43.33
23342.004999999997,43.33
23578.734999999997,43.33
23678.834999999995,43.33
23701.714999999997,43.33
23701.714999999997,43.73
23701.714999999997,44.33
23701.714999999997,45.33
23701.714999999997,45.93
23701.714999999997,46.33
23701.714999999997,47.08
23701.714999999997,47.205
23701.714999999997,47.405
23701.714999999997,47.905
23711.42,47.905
23770.984999999997,47.905
23950.194999999996,47.905
24297.264999999996,47.905
24818.789999999997,47.905
25483.239999999998,47.905
26246.089999999997,47.905
27041.959999999995,47.905
27817.819999999996,47.905
28515.549999999996,47.905
29088.049999999996,47.905
29511.529999999995,47.905
29785.739999999994,47.905
29915.179999999993,47.905
29959.669999999995,47.905
29959.669999999995,47.935
29959.669999999995,49.135000000000005
29959.669999999995,49.885000000000005
29959.669999999995,50.48500000000001
29959.669999999995,50.885000000000005
29959.669999999995,51.035000000000004
29959.669999999995,51.535000000000004
29959.669999999995,51.835
29959.669999999995,52.035000000000004
29961.419999999995,52.035000000000004
30013.119999999995,52.035000000000004
30184.069999999996,52.035000000000004
30532.099999999995,52.035000000000004
31074.704999999994,52.035000000000004
31776.524999999994,52.035000000000004
32594.904999999995,52.035000000000004
33455.13,52.035000000000004
34300.829999999994,52.035000000000004
35061.35999999999,52.035000000000004
35689.95999999999,52.035000000000004
36158.08999999999,52.035000000000004
36464.79999999999,52.035000000000004
36607.15999999999,52.035000000000004
36648.98999999999,52.035000000000004
36648.98999999999,52.205000000000005
36648.98999999999,52.80500000000001
36648.98999999999,53.30500000000001
36648.98999999999,53.705000000000005
36648.98999999999,54.505
36648.98999999999,54.955000000000005
36648.98999999999,55.330000000000005
36648.98999999999,55.53000000000001
36648.98999999999,56.03000000000001
36648.98999999999,56.15500000000001
36673.60499999999,56.15500000000001
36812.78499999999,56.15500000000001
37129.58499999999,56.15500000000001
37648.73499999999,56.15500000000001
38327.465,56.15500000000001
39105.625,56.15500000000001
39948.1,56.15500000000001
40777.22,56.15500000000001
41520.47,56.15500000000001
42126.01,56.15500000000001
42580.97,56.15500000000001
42850.57,56.15500000000001
42958.92,56.15500000000001
42972.64,56.15500000000001
42972.64,57.35500000000001
42972.64,58.25500000000001
42972.64,59.25500000000001
42972.64,60.25500000000001
42972.64,60.85500000000001
42972.64,61.00500000000001
42972.64,61.50500000000001
42972.64,62.00500000000001
42972.64,62.40500000000001
42972.64,62.78000000000001
42973.33,62.78000000000001
43068.200000000004,62.78000000000001
43331.51,62.78000000000001
43783.465000000004,62.78000000000001
44381.175,62.78000000000001
45081.145000000004,62.78000000000001
45830.62,62.78000000000001
46552.58,62.78000000000001
47207.54,62.78000000000001
47726.29,62.78000000000001
48096.74,62.78000000000001
48283.95,62.78000000000001
48313.799999999996,62.78000000000001
48313.799999999996,63.330000000000005
48313.799999999996,64.93
48313.799999999996,65.23
48313.799999999996,66.23
48313.799999999996,66.63000000000001
48313.799999999996,67.43
