Month,Demand_kWh,Generation_kWh,Ratio
2022-01,746.775,3386.59,0.22050942098098675
2022-02,700.775,4094.23,0.17116161036385352
2022-03,783.65,5040.63,0.15546667777638906
2022-04,752.475,5493.3,0.13698050352247282
2022-05,778.925,5760.86,0.13520984714087828
2022-06,755.125,6278.0,0.12028114049060211
2022-07,765.25,6707.400000000001,0.11409040760950591
2022-08,769.15,6342.150000000001,0.12127590801226712
2022-09,741.525,5356.01,0.13844727698417292
2022-10,755.325,3829.3,0.19724884443631996
2022-11,737.4,3053.88,0.24146331879445163
2022-12,779.0,3052.98,0.2551605316772465
